repo_name,layer1,layer2,layer3,stars,language,created_at,trend,status,openrank_01,openrank_07,delta,description,repo_id
pytorch/pytorch,AI Infra,Training,Training Platform,92039,Python,2016/8/13,"[951, 929, 904, 925, 909, 907, 859]",-,951,859,-92,Tensors and Dynamic neural networks in Python with strong GPU acceleration,65600975
vllm-project/vllm,AI Infra,Serving,Inference Engine,53912,Python,2023/2/9,"[490, 581, 668, 723, 709, 651, 637]",-,490,637,147,A high-throughput and memory-efficient inference and serving engine for LLMs,599547518
google-gemini/gemini-cli,AI Agent,AI Coding,,66881,TypeScript,2025/4/17,"[191, 391]",new,191,391,200,An open-source AI agent that brings the power of Gemini directly into your terminal.,968197216
langgenius/dify,AI Agent,Agent Workflow Platform,,109674,TypeScript,2023/4/12,"[355, 416, 561, 560, 489, 418, 379]",-,355,379,24,Production-ready platform for agentic workflow development.,626805178
sgl-project/sglang,AI Infra,Serving,Inference Engine,16555,Python,2024/1/8,"[180, 257, 302, 338, 365, 351, 352]",-,180,352,172,SGLang is a fast serving framework for large language models and vision language models.,740303686
streamlit/streamlit,AI Data,App Framework,,40751,Python,2019/8/24,"[97, 101, 99, 104, 102, 91, 84]",-,97,84,-13,Streamlit �� A faster way to build and share data apps.,204086862
gradio-app/gradio,AI Data,App Framework,,39322,Python,2018/12/19,"[99, 92, 88, 90, 83, 73, 72]",-,99,72,-27,"Build and share delightful machine learning apps, all in Python. __ Star to support our work!",162405963
 CherryHQ/cherry-studio,AI Agent,Chatbot & Knowledge Management,,30976,TypeScript,2024/5/24,"[86, 288, 356, 394, 377, 330, 313]",new,86,313,227,__ Cherry Studio is a desktop client that supports for multiple LLM providers.,805155266
NVIDIA/TensorRT-LLM,AI Infra,Serving,Inference Engine,11219,C++,2023/8/16,"[69, 60, 92, 162, 211, 249, 295]",-,69,295,226,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and support state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in performant way.,679366051
n8n-io/n8n,AI Agent,Agent Workflow Platform,,126659,TypeScript,2019/6/22,"[159, 197, 233, 262, 274, 280, 281]",-,159,281,122,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",193215554
ray-project/ray,AI Infra,Distributed Compute,,38302,Python,2016/10/25,"[212, 223, 236, 236, 241, 263, 274]",-,212,274,62,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,71932349
BerriAI/litellm,AI Agent,Agent Tool,,26829,Python,2023/7/27,"[193, 230, 254, 274, 287, 267, 251]",-,193,251,58,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]",671269505
ggml-org/llama.cpp,AI Infra,Serving,Inference Engine,83891,C++,2023/3/10,"[233, 236, 225, 236, 264, 241, 239]",-,233,239,6,LLM inference in C/C++,612354784
openvinotoolkit/openvino,AI Infra,Serving,Inference Engine,8668,C++,2018/10/15,"[275, 277, 281, 288, 259, 229, 239]",-,275,239,-36,OpenVINO� is an open source toolkit for optimizing and deploying AI inference,153097643
